time,soilmoisture7to28cm,temperature2m,relativehumidity2m,precipitation
2013-12-15T00:00,0.174,9.5,92,0
2013-12-15T01:00,0.174,9.3,93,0
2013-12-15T02:00,0.174,9.1,93,0
2013-12-15T03:00,0.174,10.7,90,0
2013-12-15T04:00,0.174,14.7,73,0
2013-12-15T05:00,0.174,17.5,63,0
2013-12-15T06:00,0.174,19.6,57,0
2013-12-15T07:00,0.174,20.7,55,0
2013-12-15T08:00,0.174,21.5,52,0
2013-12-15T09:00,0.174,21.8,50,0
2013-12-15T10:00,0.174,21.8,49,0
2013-12-15T11:00,0.174,21.2,54,0
2013-12-15T12:00,0.174,19.8,59,0
2013-12-15T13:00,0.174,17.6,66,0
2013-12-15T14:00,0.174,15.6,74,0
2013-12-15T15:00,0.174,14.1,80,0
2013-12-15T16:00,0.174,13,84,0
2013-12-15T17:00,0.174,12.1,87,0
2013-12-15T18:00,0.174,11.2,91,0
2013-12-15T19:00,0.174,10.4,94,0
2013-12-15T20:00,0.174,9.9,94,0
2013-12-15T21:00,0.174,9.4,95,0
2013-12-15T22:00,0.174,9.1,95,0
2013-12-15T23:00,0.174,9.1,95,0
2013-12-16T00:00,0.174,9.8,93,0
2013-12-16T01:00,0.174,9.9,93,0
2013-12-16T02:00,0.174,9.6,93,0
2013-12-16T03:00,0.174,10.7,90,0
2013-12-16T04:00,0.174,14.6,78,0
2013-12-16T05:00,0.174,17.9,66,0
2013-12-16T06:00,0.174,19.9,59,0
2013-12-16T07:00,0.173,19.7,61,0
2013-12-16T08:00,0.173,20.5,57,0
2013-12-16T09:00,0.173,20.8,55,0
2013-12-16T10:00,0.173,20.8,55,0
2013-12-16T11:00,0.173,20.2,58,0
2013-12-16T12:00,0.173,18.8,65,0
2013-12-16T13:00,0.173,16.9,72,0
2013-12-16T14:00,0.173,15.3,79,0
2013-12-16T15:00,0.173,14.1,84,0
2013-12-16T16:00,0.173,13.1,88,0
2013-12-16T17:00,0.173,12.3,91,0
2013-12-16T18:00,0.173,11.5,93,0
2013-12-16T19:00,0.173,10.8,95,0
2013-12-16T20:00,0.173,10,97,0
2013-12-16T21:00,0.173,9.6,96,0
2013-12-16T22:00,0.173,9,97,0
2013-12-16T23:00,0.173,8.5,98,0
2013-12-17T00:00,0.173,8.3,98,0
2013-12-17T01:00,0.173,8.7,98,0
2013-12-17T02:00,0.173,8.6,99,0
2013-12-17T03:00,0.173,9.5,96,0
2013-12-17T04:00,0.173,11.2,96,0
2013-12-17T05:00,0.173,14,89,0
2013-12-17T06:00,0.173,16.7,78,0
2013-12-17T07:00,0.173,17.6,74,0
2013-12-17T08:00,0.173,18.8,67,0
2013-12-17T09:00,0.173,19.3,62,0
2013-12-17T10:00,0.173,19.4,61,0
2013-12-17T11:00,0.173,18.9,64,0
2013-12-17T12:00,0.173,17.6,70,0
2013-12-17T13:00,0.173,15.8,77,0
2013-12-17T14:00,0.173,14.5,82,0
2013-12-17T15:00,0.173,13.6,86,0
2013-12-17T16:00,0.173,12.6,91,0
2013-12-17T17:00,0.173,11.6,94,0
2013-12-17T18:00,0.173,10.8,95,0
2013-12-17T19:00,0.173,10.3,96,0
2013-12-17T20:00,0.173,9.8,97,0
2013-12-17T21:00,0.173,9.3,97,0
2013-12-17T22:00,0.173,9.2,97,0
2013-12-17T23:00,0.173,9,98,0
2013-12-18T00:00,0.173,8.7,99,0
2013-12-18T01:00,0.173,7.9,100,0
2013-12-18T02:00,0.173,7.8,99,0
2013-12-18T03:00,0.173,9.3,96,0
2013-12-18T04:00,0.173,11.6,95,0
2013-12-18T05:00,0.173,13.7,92,0
2013-12-18T06:00,0.173,15.5,84,0
2013-12-18T07:00,0.173,16.3,75,0
2013-12-18T08:00,0.173,17.4,68,0
2013-12-18T09:00,0.173,17.7,65,0
2013-12-18T10:00,0.173,17.8,65,0
2013-12-18T11:00,0.172,17.4,66,0
2013-12-18T12:00,0.172,16.2,73,0
2013-12-18T13:00,0.172,15.2,78,0
2013-12-18T14:00,0.172,14.2,84,0
2013-12-18T15:00,0.173,14,85,0
2013-12-18T16:00,0.173,13.2,89,0
2013-12-18T17:00,0.173,12.6,91,0
2013-12-18T18:00,0.173,11.6,94,0
2013-12-18T19:00,0.173,11.7,94,0
2013-12-18T20:00,0.173,11.4,95,0
2013-12-18T21:00,0.173,11.1,96,0
2013-12-18T22:00,0.173,10.8,96,0
2013-12-18T23:00,0.173,10.2,97,0
2013-12-19T00:00,0.173,9.9,98,0
2013-12-19T01:00,0.173,9.6,98,0
2013-12-19T02:00,0.173,9.5,97,0
2013-12-19T03:00,0.173,10.7,95,0
2013-12-19T04:00,0.173,13.6,84,0
2013-12-19T05:00,0.173,16.3,62,0
2013-12-19T06:00,0.172,17.2,55,0
2013-12-19T07:00,0.172,17.1,58,0
2013-12-19T08:00,0.172,17.7,54,0
2013-12-19T09:00,0.172,18.1,52,0
2013-12-19T10:00,0.172,18,53,0
2013-12-19T11:00,0.172,17.4,56,0
2013-12-19T12:00,0.172,16.1,63,0
2013-12-19T13:00,0.172,14.7,70,0
2013-12-19T14:00,0.172,13.4,79,0
